iter	Passed	Remaining
0	156	156610
1	165	82505
2	168	55875
3	170	42393
4	182	36356
5	186	30957
6	189	26936
7	192	23831
8	199	22006
9	201	19939
10	212	19121
11	214	17655
12	216	16432
13	222	15635
14	227	14911
15	228	14047
16	229	13283
17	239	13078
18	241	12486
19	244	11959
20	245	11430
21	246	10941
22	247	10493
23	252	10270
24	257	10029
25	258	9670
26	258	9330
27	259	9013
28	260	8729
29	262	8490
30	264	8258
31	265	8024
32	266	7798
33	272	7747
34	275	7593
35	277	7418
36	278	7236
37	279	7063
38	279	6893
39	280	6734
40	281	6587
41	293	6705
42	294	6564
43	295	6428
44	302	6416
45	304	6313
46	305	6203
47	306	6086
48	308	5981
49	309	5874
50	310	5776
51	311	5679
52	323	5778
53	324	5684
54	325	5592
55	326	5507
56	331	5490
57	333	5422
58	335	5355
59	337	5294
60	339	5224
61	341	5165
62	344	5117
63	350	5125
64	351	5057
65	365	5167
66	366	5106
67	368	5045
68	375	5066
69	378	5022
70	379	4960
71	379	4897
72	380	4838
73	394	4940
74	396	4890
75	397	4833
76	403	4835
77	405	4787
78	406	4735
79	408	4695
80	410	4653
81	411	4611
82	413	4572
83	422	4612
84	424	4564
85	425	4521
86	426	4471
87	427	4426
88	427	4380
89	433	4382
90	436	4357
91	437	4318
92	438	4277
93	440	4246
94	441	4205
95	442	4165
96	443	4131
97	456	4199
98	457	4167
99	459	4132
100	460	4102
101	461	4064
102	469	4086
103	470	4057
104	472	4023
105	472	3988
106	473	3953
107	474	3919
108	490	4009
109	492	3982
110	494	3961
111	499	3958
112	500	3930
113	501	3899
114	516	3976
115	517	3944
116	527	3982
117	529	3954
118	530	3930
119	563	4131
120	565	4109
121	568	4089
122	569	4058
123	593	4192
124	597	4183
125	600	4168
126	606	4171
127	608	4145
128	610	4121
129	614	4112
130	616	4092
131	627	4127
132	629	4100
133	630	4076
134	631	4047
135	640	4071
136	642	4044
137	642	4015
138	643	3986
139	644	3959
140	645	3934
141	650	3929
142	652	3909
143	656	3903
144	658	3882
145	659	3856
146	660	3832
147	661	3807
148	662	3782
149	675	3826
150	682	3838
151	685	3823
152	686	3800
153	687	3777
154	688	3752
155	691	3738
156	702	3770
157	703	3750
158	705	3731
159	706	3708
160	707	3685
161	721	3731
162	753	3867
163	756	3854
164	769	3893
165	783	3937
166	844	4213
167	847	4197
168	851	4186
169	867	4235
170	870	4218
171	875	4212
172	889	4250
173	891	4231
174	893	4210
175	895	4193
176	897	4173
177	899	4152
178	900	4132
179	906	4130
180	955	4325
181	957	4302
182	958	4281
183	960	4258
184	962	4238
185	963	4216
186	975	4241
187	977	4219
188	978	4197
189	981	4185
190	985	4173
191	987	4156
192	989	4137
193	990	4116
194	992	4095
195	1006	4127
196	1007	4106
197	1011	4095
198	1013	4078
199	1039	4156
200	1050	4175
201	1052	4156
202	1053	4135
203	1055	4117
204	1064	4127
205	1065	4108
206	1067	4089
207	1069	4071
208	1070	4052
209	1072	4034
210	1074	4018
211	1076	4002
212	1078	3983
213	1079	3963
214	1081	3948
215	1083	3931
216	1084	3913
217	1085	3895
218	1092	3894
219	1098	3895
220	1102	3886
221	1108	3886
222	1112	3874
223	1113	3858
224	1115	3842
225	1157	3963
226	1159	3947
227	1160	3929
228	1162	3912
229	1166	3904
230	1178	3922
231	1180	3908
232	1191	3923
233	1193	3907
234	1195	3890
235	1197	3877
236	1202	3869
237	1203	3853
238	1205	3837
239	1208	3828
240	1210	3811
241	1211	3796
242	1213	3780
243	1220	3782
244	1223	3769
245	1225	3755
246	1235	3766
247	1244	3774
248	1251	3775
249	1254	3764
250	1260	3760
251	1271	3774
252	1273	3759
253	1275	3746
254	1277	3732
255	1282	3726
256	1284	3713
257	1286	3699
258	1287	3683
259	1288	3667
260	1289	3650
261	1298	3657
262	1299	3641
263	1300	3625
264	1301	3609
265	1302	3593
266	1303	3577
267	1303	3561
268	1304	3545
269	1307	3534
270	1308	3519
271	1309	3504
272	1310	3489
273	1311	3475
274	1312	3461
275	1313	3446
276	1314	3430
277	1315	3415
278	1315	3400
279	1316	3384
280	1316	3369
281	1317	3355
282	1318	3341
283	1319	3326
284	1330	3337
285	1332	3326
286	1333	3312
287	1334	3298
288	1335	3284
289	1337	3273
290	1338	3261
291	1340	3250
292	1341	3236
293	1342	3222
294	1342	3209
295	1343	3195
296	1344	3182
297	1346	3171
298	1347	3158
299	1348	3145
300	1348	3132
301	1349	3119
302	1356	3120
303	1357	3108
304	1358	3096
305	1359	3083
306	1360	3070
307	1360	3057
308	1361	3044
309	1362	3032
310	1363	3020
311	1363	3007
312	1364	2995
313	1367	2987
314	1368	2976
315	1370	2965
316	1371	2954
317	1372	2943
318	1373	2931
319	1374	2919
320	1375	2909
321	1376	2898
322	1377	2887
323	1378	2875
324	1378	2863
325	1379	2851
326	1388	2857
327	1389	2847
328	1390	2836
329	1391	2825
330	1392	2813
331	1392	2802
332	1393	2791
333	1394	2779
334	1394	2768
335	1397	2762
336	1398	2752
337	1399	2741
338	1400	2731
339	1401	2720
340	1402	2709
341	1402	2699
342	1403	2688
343	1404	2677
344	1404	2667
345	1405	2656
346	1406	2646
347	1406	2635
348	1407	2625
349	1408	2616
350	1409	2606
351	1416	2608
352	1417	2598
353	1418	2589
354	1419	2579
355	1420	2569
356	1421	2560
357	1422	2550
358	1423	2541
359	1424	2531
360	1424	2521
361	1426	2514
362	1427	2505
363	1429	2496
364	1430	2488
365	1431	2478
366	1431	2469
367	1432	2460
368	1433	2451
369	1434	2442
370	1434	2432
371	1436	2424
372	1436	2415
373	1437	2406
374	1438	2397
375	1438	2387
376	1439	2379
377	1441	2371
378	1445	2367
379	1446	2359
380	1447	2352
381	1449	2345
382	1450	2337
383	1451	2328
384	1452	2320
385	1453	2311
386	1454	2303
387	1458	2299
388	1459	2292
389	1460	2284
390	1461	2276
391	1462	2268
392	1463	2260
393	1464	2252
394	1465	2245
395	1466	2237
396	1467	2229
397	1468	2221
398	1469	2213
399	1475	2212
400	1476	2205
401	1479	2201
402	1481	2194
403	1482	2187
404	1483	2179
405	1484	2171
406	1486	2166
407	1487	2158
408	1488	2151
409	1489	2143
410	1490	2135
411	1491	2128
412	1491	2120
413	1492	2112
414	1493	2105
415	1494	2097
416	1494	2089
417	1495	2082
418	1496	2074
419	1496	2066
420	1497	2060
421	1499	2053
422	1504	2052
423	1505	2045
424	1507	2038
425	1508	2031
426	1508	2024
427	1509	2017
428	1510	2011
429	1511	2003
430	1512	1996
431	1513	1989
432	1514	1982
433	1517	1978
434	1518	1972
435	1520	1966
436	1521	1960
437	1522	1953
438	1523	1946
439	1524	1940
440	1525	1933
441	1526	1926
442	1527	1920
443	1527	1913
444	1529	1907
445	1539	1912
446	1540	1905
447	1541	1899
448	1542	1893
449	1543	1886
450	1544	1880
451	1547	1876
452	1549	1870
453	1550	1865
454	1552	1859
455	1553	1852
456	1554	1846
457	1554	1839
458	1555	1833
459	1556	1827
460	1557	1821
461	1558	1814
462	1559	1808
463	1565	1808
464	1566	1802
465	1567	1796
466	1569	1791
467	1570	1785
468	1571	1779
469	1572	1772
470	1572	1766
471	1573	1760
472	1574	1753
473	1577	1750
474	1578	1744
475	1579	1738
476	1580	1732
477	1581	1727
478	1582	1720
479	1582	1714
480	1583	1708
481	1584	1702
482	1584	1696
483	1585	1690
484	1586	1684
485	1586	1678
486	1588	1672
487	1588	1666
488	1589	1661
489	1592	1657
490	1596	1654
491	1596	1648
492	1597	1643
493	1598	1637
494	1599	1631
495	1600	1625
496	1600	1619
497	1601	1614
498	1602	1608
499	1602	1602
500	1603	1597
501	1606	1593
502	1607	1587
503	1608	1582
504	1609	1577
505	1609	1571
506	1610	1566
507	1611	1560
508	1612	1555
509	1612	1549
510	1613	1544
511	1614	1538
512	1615	1533
513	1615	1527
514	1616	1522
515	1617	1517
516	1618	1512
517	1623	1511
518	1625	1506
519	1625	1500
520	1626	1495
521	1627	1490
522	1628	1484
523	1628	1479
524	1629	1474
525	1631	1470
526	1632	1465
527	1634	1461
528	1635	1456
529	1636	1451
530	1637	1446
531	1638	1441
532	1639	1436
533	1640	1431
534	1641	1427
535	1642	1421
536	1643	1416
537	1643	1411
538	1644	1406
539	1650	1406
540	1651	1401
541	1652	1396
542	1653	1391
543	1654	1386
544	1655	1382
545	1656	1377
546	1657	1372
547	1658	1367
548	1658	1362
549	1659	1357
550	1661	1354
551	1662	1349
552	1663	1344
553	1664	1340
554	1665	1335
555	1666	1330
556	1666	1325
557	1667	1320
558	1668	1316
559	1669	1311
560	1670	1306
561	1670	1302
562	1671	1297
563	1672	1292
564	1672	1287
565	1673	1283
566	1674	1278
567	1682	1279
568	1683	1275
569	1685	1271
570	1686	1267
571	1688	1263
572	1688	1258
573	1689	1253
574	1690	1249
575	1693	1246
576	1695	1243
577	1696	1238
578	1698	1234
579	1699	1230
580	1700	1226
581	1700	1221
582	1701	1217
583	1702	1212
584	1702	1207
585	1703	1203
586	1704	1198
587	1705	1194
588	1712	1194
589	1713	1190
590	1714	1186
591	1714	1181
592	1715	1177
593	1716	1173
594	1717	1168
595	1717	1164
596	1718	1160
597	1719	1155
598	1721	1152
599	1724	1149
600	1728	1147
601	1729	1143
602	1730	1139
603	1731	1135
604	1732	1130
605	1733	1126
606	1743	1128
607	1745	1125
608	1746	1121
609	1747	1117
610	1748	1113
611	1748	1108
612	1749	1104
613	1752	1101
614	1754	1098
615	1756	1095
616	1760	1092
617	1761	1089
618	1778	1094
619	1780	1091
620	1785	1089
621	1787	1086
622	1798	1088
623	1799	1084
624	1800	1080
625	1801	1076
626	1802	1072
627	1807	1070
628	1812	1069
629	1814	1065
630	1815	1061
631	1817	1058
632	1831	1061
633	1832	1057
634	1839	1057
635	1841	1053
636	1842	1050
637	1843	1046
638	1844	1042
639	1845	1038
640	1846	1034
641	1847	1030
642	1848	1026
643	1858	1027
644	1863	1025
645	1864	1021
646	1871	1020
647	1872	1017
648	1874	1014
649	1877	1010
650	1879	1007
651	1891	1009
652	1893	1006
653	1894	1002
654	1896	998
655	1905	999
656	1906	995
657	1907	991
658	1908	987
659	1909	983
660	1910	979
661	1911	975
662	1925	978
663	1926	974
664	1929	972
665	1931	968
666	1934	965
667	1939	963
668	1940	960
669	1942	956
670	1944	953
671	1957	955
672	1958	951
673	1961	948
674	1965	946
675	1966	942
676	1970	940
677	1972	936
678	1974	933
679	1984	933
680	1985	930
681	1986	926
682	1995	926
683	1997	922
684	1998	918
685	1998	914
686	1999	911
687	2000	907
688	2000	903
689	2001	899
690	2002	895
691	2003	891
692	2004	887
693	2010	886
694	2013	883
695	2014	879
696	2015	876
697	2016	872
698	2016	868
699	2017	864
700	2018	860
701	2018	857
702	2019	853
703	2021	850
704	2023	846
705	2024	843
706	2025	839
707	2026	835
708	2027	832
709	2028	828
710	2028	824
711	2029	820
712	2030	817
713	2032	813
714	2035	811
715	2040	809
716	2041	805
717	2042	802
718	2043	798
719	2043	794
720	2044	791
721	2045	787
722	2046	783
723	2047	780
724	2047	776
725	2048	773
726	2049	769
727	2051	766
728	2052	762
729	2053	759
730	2054	756
731	2055	752
732	2056	749
733	2057	745
734	2058	742
735	2059	738
736	2060	735
737	2060	731
738	2062	728
739	2063	725
740	2065	721
741	2068	719
742	2070	716
743	2071	712
744	2072	709
745	2073	705
746	2073	702
747	2074	698
748	2075	695
749	2076	692
750	2076	688
751	2077	685
752	2078	681
753	2079	678
754	2080	675
755	2081	671
756	2082	668
757	2083	665
758	2084	661
759	2084	658
760	2085	655
761	2086	651
762	2087	648
763	2087	644
764	2088	641
765	2089	638
766	2090	634
767	2090	631
768	2091	628
769	2092	624
770	2092	621
771	2093	618
772	2094	615
773	2095	611
774	2098	609
775	2099	605
776	2100	602
777	2100	599
778	2101	596
779	2103	593
780	2104	590
781	2105	586
782	2105	583
783	2106	580
784	2107	577
785	2108	573
786	2108	570
787	2109	567
788	2110	564
789	2111	561
790	2112	558
791	2113	555
792	2114	551
793	2115	548
794	2115	545
795	2116	542
796	2117	539
797	2118	536
798	2118	532
799	2119	529
800	2119	526
801	2120	523
802	2121	520
803	2122	517
804	2123	514
805	2124	511
806	2125	508
807	2127	505
808	2128	502
809	2129	499
810	2131	496
811	2132	493
812	2133	490
813	2134	487
814	2135	484
815	2136	481
816	2137	478
817	2138	475
818	2139	472
819	2140	469
820	2142	467
821	2143	464
822	2143	461
823	2144	458
824	2145	455
825	2146	452
826	2146	449
827	2147	446
828	2148	443
829	2149	440
830	2150	437
831	2150	434
832	2151	431
833	2152	428
834	2153	425
835	2155	422
836	2157	420
837	2157	417
838	2158	414
839	2159	411
840	2160	408
841	2160	405
842	2161	402
843	2162	399
844	2162	396
845	2163	393
846	2164	390
847	2165	388
848	2165	385
849	2166	382
850	2167	379
851	2169	376
852	2169	373
853	2170	371
854	2171	368
855	2172	365
856	2173	362
857	2173	359
858	2174	356
859	2175	354
860	2176	351
861	2176	348
862	2177	345
863	2178	342
864	2178	340
865	2179	337
866	2180	334
867	2180	331
868	2186	329
869	2187	326
870	2188	324
871	2188	321
872	2189	318
873	2190	315
874	2190	312
875	2191	310
876	2192	307
877	2193	304
878	2193	302
879	2194	299
880	2195	296
881	2196	293
882	2197	291
883	2198	288
884	2200	285
885	2201	283
886	2202	280
887	2203	277
888	2203	275
889	2204	272
890	2205	269
891	2205	267
892	2206	264
893	2207	261
894	2208	259
895	2208	256
896	2209	253
897	2211	251
898	2215	248
899	2215	246
900	2216	243
901	2217	240
902	2218	238
903	2219	235
904	2219	233
905	2220	230
906	2221	227
907	2221	225
908	2222	222
909	2223	219
910	2225	217
911	2227	214
912	2228	212
913	2229	209
914	2230	207
915	2231	204
916	2232	202
917	2233	199
918	2234	196
919	2235	194
920	2235	191
921	2237	189
922	2239	186
923	2244	184
924	2245	182
925	2245	179
926	2246	176
927	2247	174
928	2248	171
929	2248	169
930	2249	166
931	2250	164
932	2251	161
933	2253	159
934	2254	156
935	2256	154
936	2257	151
937	2259	149
938	2261	146
939	2262	144
940	2263	141
941	2264	139
942	2264	136
943	2265	134
944	2266	131
945	2266	129
946	2267	126
947	2268	124
948	2268	121
949	2273	119
950	2274	117
951	2275	114
952	2275	112
953	2276	109
954	2277	107
955	2278	104
956	2279	102
957	2281	100
958	2281	97
959	2282	95
960	2283	92
961	2283	90
962	2284	87
963	2285	85
964	2286	82
965	2287	80
966	2288	78
967	2289	75
968	2289	73
969	2290	70
970	2291	68
971	2292	66
972	2292	63
973	2293	61
974	2294	58
975	2295	56
976	2295	54
977	2296	51
978	2297	49
979	2297	46
980	2298	44
981	2299	42
982	2301	39
983	2302	37
984	2303	35
985	2304	32
986	2305	30
987	2306	28
988	2307	25
989	2308	23
990	2309	20
991	2310	18
992	2310	16
993	2311	13
994	2312	11
995	2312	9
996	2313	6
997	2315	4
998	2316	2
999	2317	0
